state,district,e_locality_id,lat,lon,total_idps
Aj Jazirah,Al Hasahisa,SD15034,14.78013,32.925545,23360
Aj Jazirah,Al Manaqil,SD15036,14.132764,32.934234,14915
Aj Jazirah,Janub Al Jazirah,SD15031,14.145362,33.421643,17870
Aj Jazirah,Medani Al Kubra,SD15030,14.335648,33.607358,42535
Aj Jazirah,Sharg Al Jazirah,SD15033,15.016972,33.602456,249385
Aj Jazirah,Um Algura,SD15032,14.49061,33.907755,138665
Khartoum,Bahri,SD01003,15.998119,32.801408,17225
Khartoum,Karrari,SD01005,16.087487,32.352515,1130
Khartoum,Khartoum,SD01007,15.552506,32.561114,435
Khartoum,Sharg An Neel,SD01004,15.725083,33.380571,13690
Khartoum,Um Bada,SD01002,16.127237,32.071757,420
Khartoum,Um Durman,SD01006,15.447412,32.350618,1200
Sennar,Abu Hujar,SD14037,12.612193,33.89529,10765
Sennar,Ad Dali,SD14039,12.526733,33.438086,6215
Sennar,Ad Dinder,SD14040,12.735365,34.803236,6695
Sennar,As Suki,SD14041,12.91538,34.141804,66462
Sennar,Sennar,SD14038,13.539079,33.24522,16025
Sennar,Sharg Sennar,SD14042,13.761927,33.846929,5130
Sennar,Sinja,SD14043,13.137546,33.740814,15482
